experiment,feature_number,network,libraryID,library_superclass,library_class,library_subclass,canopus_superclass,canopus_class,canopus_subclass,ecoNetConsensus,ecoNetConsensusScore,ecoNetConsensusLevel,numberOfNodes,matchSource
dataset1_SmallNets,2896,-1,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2897,693,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Ethers,0.7666666666666666,subclass,6,Insilico
dataset1_SmallNets,2898,3981,NA,NA,NA,NA,Benzenoids,Benzene and substituted derivatives,Benzenesulfonyl compounds,NA,NA,NA,NA,NA
dataset1_SmallNets,2899,2727,NA,NA,NA,NA,Organoheterocyclic compounds,Azoles,NA,Nitrobenzenes,1,subclass,1,Insilico
dataset1_SmallNets,2900,178,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,NA,Lipids and lipid-like molecules,0.5483870967741935,superclass,31,Insilico
dataset1_SmallNets,2901,601,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,NA
dataset1_SmallNets,2902,71,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,N/A,N/A,N/A,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glycerophosphocholines,1,subclass,3,Library
dataset1_SmallNets,2903,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Sphingolipids,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2904,819,NA,NA,NA,NA,Benzenoids,Phenol ethers,NA,NA,NA,NA,NA,NA
dataset1_SmallNets,2905,3084,NA,NA,NA,NA,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,NA,NA,NA,NA,NA
dataset1_SmallNets,2906,211,NA,NA,NA,NA,Lipids and lipid-like molecules,NA,NA,Fatty acids and conjugates,1,subclass,1,Library
dataset1_SmallNets,2907,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2908,-1,NA,NA,NA,NA,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,NA
dataset1_SmallNets,2909,-1,NA,NA,NA,NA,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",NA,NA,NA,NA,NA
dataset1_SmallNets,2910,-1,NA,NA,NA,NA,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,NA,NA,NA,NA,NA
